nachname;vorname;partei;website;feed;fullname;wikidataq;wikidataurl;wikidataname;distance;wikidatawebsite;distance
Albani;Stephan;CDU;http://stephan-albani.de;1;Stephan Albani;Q15093113;https://www.wikidata.org/wiki/Q15093113;Stephan Albani;0;http://stephan-albani.de/;0
Albsteiger;Katrin;CSU;http://katrin-albsteiger.de;1;Katrin Albsteiger;Q1736697;https://www.wikidata.org/wiki/Q1736697;Katrin Albsteiger;0;http://katrin-albsteiger.de;0
Alpers;Agnes;DIE LINKE;http://www.agnes-alpers.de;;Agnes Alpers;Q394447;https://www.wikidata.org/wiki/Q394447;Agnes Alpers;0;http://www.agnes-alpers.de/;0
Altmaier;Peter;CDU;http://www.peteraltmaier.de;1;Peter Altmaier;Q65539;https://www.wikidata.org/wiki/Q65539;Peter Altmaier;0;http://www.peteraltmaier.de/;0
Amtsberg;Luise;GRÜNE;http://luise-amtsberg.de;1;Luise Amtsberg;Q1876595;https://www.wikidata.org/wiki/Q1876595;Luise Amtsberg;0;http://luise-amtsberg.de/;0
Andreae;Kerstin;GRÜNE;http://www.kerstin-andreae.de;1;Kerstin Andreae;Q95185;https://www.wikidata.org/wiki/Q95185;Kerstin Andreae;0;http://www.kerstin-andreae.de;0
Annen;Niels;SPD;http://nielsannen.de;1;Niels Annen;Q109362;https://www.wikidata.org/wiki/Q109362;Niels Annen;0;http://nielsannen.de/;0
Arndt-Brauer;Ingrid;SPD;http://www.arndt-brauer.de;;Ingrid Arndt-Brauer;Q109521;https://www.wikidata.org/wiki/Q109521;Ingrid Arndt-Brauer;0;http://www.arndt-brauer.de/;0
Arnold;Rainer;SPD;http://www.rainer-arnold.de;;Rainer Arnold;Q96968;https://www.wikidata.org/wiki/Q96968;Rainer Arnold;0;http://www.rainer-arnold.de/;0
Auernhammer;Artur;CSU;https://www.artur-auernhammer.de;1;Artur Auernhammer;Q122011;https://www.wikidata.org/wiki/Q122011;Artur Auernhammer;0;https://www.artur-auernhammer.de;0
Baehrens;Heike;SPD;http://www.heike-baehrens.de;1;Heike Baehrens;Q15114946;https://www.wikidata.org/wiki/Q15114946;Heike Baehrens;0;http://www.heike-baehrens.de/;0
Baerbock;Annalena;GRÜNE;http://www.annalena-baerbock.de;1;Annalena Baerbock;Q564328;https://www.wikidata.org/wiki/Q564328;Annalena Baerbock;0;http://www.annalena-baerbock.de/;0
Bahr;Ulrike;SPD;https://ulrike-bahr.de;1;Ulrike Bahr;Q15114982;https://www.wikidata.org/wiki/Q15114982;Ulrike Bahr;0;https://ulrike-bahr.de/;0
Bär;Dorothee;CSU;http://www.dorothee-baer.de;1;Dorothee Bär;Q85851;https://www.wikidata.org/wiki/Q85851;Dorothee Bär;0;http://www.dorothee-baer.de/;0
Barchmann;Heinz-Joachim;SPD;http://achim-barchmann.de;1;Heinz-Joachim Barchmann;Q1599900;https://www.wikidata.org/wiki/Q1599900;Heinz-Joachim Barchmann;0;http://achim-barchmann.de/;0
Bareiß;Thomas;CDU;http://www.thomas-bareiss.de;;Thomas Bareiß;Q90623;https://www.wikidata.org/wiki/Q90623;Thomas Bareiß;0;http://www.thomas-bareiss.de/;0
Barley;Katarina;SPD;http://www.katarina-barley.de;1;Katarina Barley;Q15117357;https://www.wikidata.org/wiki/Q15117357;Katarina Barley;0;http://www.katarina-barley.de/;0
Barnett;Doris;SPD;http://www.doris-barnett.de;;Doris Barnett;Q113994;https://www.wikidata.org/wiki/Q113994;Doris Barnett;0;http://www.doris-barnett.de/;0
Bartels;Hans-Peter;SPD;http://www.hans-peter-bartels.de;1;Hans-Peter Bartels;Q101192;https://www.wikidata.org/wiki/Q101192;Hans-Peter Bartels;0;http://www.hans-peter-bartels.de/;0
Barthel;Klaus;SPD;https://klaus-barthel.de;1;Klaus Barthel;Q95515;https://www.wikidata.org/wiki/Q95515;Klaus Barthel;0;https://klaus-barthel.de/;0
Barthle;Norbert;CDU;http://barthle-mdb.de;1;Norbert Barthle;Q109811;https://www.wikidata.org/wiki/Q109811;Norbert Barthle;0;http://www.barthle.de/;8
Bartke;Matthias;SPD;http://matthias-bartke.de;1;Matthias Bartke;Q14947864;https://www.wikidata.org/wiki/Q14947864;Matthias Bartke;0;http://matthias-bartke.de/;0
Bartol;Sören;SPD;http://www.bartol.de;;Sören Bartol;Q91081;https://www.wikidata.org/wiki/Q91081;Sören Bartol;0;http://www.bartol.de/;0
Bartsch;Dietmar;DIE LINKE;http://www.dietmar-bartsch.de;1;Dietmar Bartsch;Q99450;https://www.wikidata.org/wiki/Q99450;Dietmar Bartsch;0;http://www.dietmar-bartsch.de/;0
Bas;Bärbel;SPD;http://www.baerbelbas.de;1;Bärbel Bas;Q1019016;https://www.wikidata.org/wiki/Q1019016;Bärbel Bas;0;http://www.baerbelbas.de/;0
Bätzing-Lichtenthäler;Sabine;SPD;http://www.baetzing-lichtenthaeler.de;;Sabine Bätzing-Lichtenthäler;Q96735;https://www.wikidata.org/wiki/Q96735;Sabine Bätzing-Lichtenthäler;0;http://www.baetzing-lichtenthaeler.de;0
Baumann;Günter;CDU;http://www.guenter-baumann.de;;Günter Baumann;Q110018;https://www.wikidata.org/wiki/Q110018;Günter Baumann;0;http://www.guenter-baumann.de/;0
Beck;Marieluise;GRÜNE;http://marieluisebeck.de;1;Marieluise Beck;Q96967;https://www.wikidata.org/wiki/Q96967;Marieluise Beck;0;http://marieluisebeck.de;0
Beck;Volker;GRÜNE;http://www.volkerbeck.de;1;Volker Beck;Q57322;https://www.wikidata.org/wiki/Q57322;Volker Beck;0;http://www.volkerbeck.de/;0
Beckmeyer;Uwe;SPD;http://www2.uwe-beckmeyer.de;1;Uwe Beckmeyer;Q105117;https://www.wikidata.org/wiki/Q105117;Uwe Beckmeyer;0;http://www.uwebeckmeyer.de/;2
Beermann;Maik;CDU;http://www.maik-beermann.de;1;Maik Beermann;Q15126097;https://www.wikidata.org/wiki/Q15126097;Maik Beermann;0;http://www.maik-beermann.de/;0
Behrens;Herbert;DIE LINKE;http://www.herbert-behrens.de;1;Herbert Behrens;Q1608045;https://www.wikidata.org/wiki/Q1608045;Herbert Behrens;0;http://www.herbert-behrens.de/;0
Behrens;Manfred;CDU;http://www.manfredbehrens.de;1;Manfred Behrens;Q1327793;https://www.wikidata.org/wiki/Q1327793;Manfred Behrens;0;http://www.manfredbehrens.de/;0
Bellmann;Veronika;CDU;http://www.veronika-bellmann.de;1;Veronika Bellmann;Q110576;https://www.wikidata.org/wiki/Q110576;Veronika Bellmann;0;http://www.veronika-bellmann.de/;0
Benning;Sybille;CDU;http://www.sybille-benning.de;1;Sybille Benning;Q14945716;https://www.wikidata.org/wiki/Q14945716;Sybille Benning;0;http://www.sybille-benning.de/;0
Berghegger;André;CDU;http://www.andre-berghegger.de;1;André Berghegger;Q13641202;https://www.wikidata.org/wiki/Q13641202;André Berghegger;0;http://www.andre-berghegger.de/;0
Bergner;Christoph;CDU;http://www.bergner.de;;Christoph Bergner;Q70089;https://www.wikidata.org/wiki/Q70089;Christoph Bergner;0;http://www.bergner.de/;0
Bertram;Ute;CDU;https://www.ute-bertram.de;1;Ute Bertram;Q15146143;https://www.wikidata.org/wiki/Q15146143;Ute Bertram;0;https://www.ute-bertram.de/;0
Beyer;Peter;CDU;http://www.peter-beyer.info;;Peter Beyer;Q2073936;https://www.wikidata.org/wiki/Q2073936;Peter Beyer;0;http://www.peter-beyer.info/;0
Bilger;Steffen;CDU;http://www.steffen-bilger.de;;Steffen Bilger;Q1648540;https://www.wikidata.org/wiki/Q1648540;Steffen Bilger;0;http://www.steffen-bilger.de;0
Binder;Karin;DIE LINKE;http://www.karin-binder.de;;Karin Binder;Q103670;https://www.wikidata.org/wiki/Q103670;Karin Binder;0;http://www.karin-binder.de/;0
Binding;Lothar;SPD;http://lothar-binding.de;1;Lothar Binding;Q75408;https://www.wikidata.org/wiki/Q75408;Lothar Binding;0;http://lothar-binding.de/;0
Binninger;Clemens;CDU;http://www.clemens-binninger.de;1;Clemens Binninger;Q98019;https://www.wikidata.org/wiki/Q98019;Clemens Binninger;0;http://www.clemens-binninger.de/;0
Birkwald;Matthias W.;DIE LINKE;http://www.matthias-w-birkwald.de;1;Matthias W. Birkwald;Q1909731;https://www.wikidata.org/wiki/Q1909731;Matthias Birkwald;3;http://www.matthias-w-birkwald.de/;0
Bleser;Peter;CDU;http://www.peter-bleser.de;;Peter Bleser;Q124941;https://www.wikidata.org/wiki/Q124941;Peter Bleser;0;http://www.peter-bleser.de/;0
Blienert;Burkhard;SPD;http://www.burkhard-blienert.de;1;Burkhard Blienert;Q15149837;https://www.wikidata.org/wiki/Q15149837;Burkhard Blienert;0;http://www.burkhard-blienert.de/;0
Bluhm;Heidrun;DIE LINKE;http://www.heidrunbluhm.de;;Heidrun Bluhm;Q101617;https://www.wikidata.org/wiki/Q101617;Heidrun Bluhm;0;http://www.heidrunbluhm.de/;0
Böhmer;Maria;CDU;http://www.maria-boehmer.de;1;Maria Böhmer;Q67529;https://www.wikidata.org/wiki/Q67529;Maria Böhmer;0;http://www.maria-boehmer.de;0
Bosbach;Wolfgang;CDU;http://www.wobo.de;;Wolfgang Bosbach;Q102506;https://www.wikidata.org/wiki/Q102506;Wolfgang Bosbach;0;http://www.wobo.de/;0
Brackmann;Norbert;CDU;http://www.norbert-brackmann.de;;Norbert Brackmann;Q1728136;https://www.wikidata.org/wiki/Q1728136;Norbert Brackmann;0;http://www.norbert-brackmann.de/;0
Brähmig;Klaus;CDU;http://www.klaus-braehmig.de;;Klaus Brähmig;Q102992;https://www.wikidata.org/wiki/Q102992;Klaus Brähmig;0;http://www.klaus-braehmig.de/;0
Brand;Michael;CDU;http://www.michael-brand.de;1;Michael Brand;Q121174;https://www.wikidata.org/wiki/Q121174;Michael Brand;0;http://www.michael-brand.de/;0
Brandl;Reinhard;CSU;http://www.reinhard-brandl.de;;Reinhard Brandl;Q111160;https://www.wikidata.org/wiki/Q111160;Reinhard Brandl;0;http://www.reinhard-brandl.de/;0
Brandt;Helmut;CDU;http://www.helmut-brandt.de;;Helmut Brandt;Q107680;https://www.wikidata.org/wiki/Q107680;Helmut Brandt;0;http://www.helmut-brandt.de/;0
Brantner;Franziska;GRÜNE;http://www.franziska-brantner.eu;1;Franziska Brantner;Q76265;https://www.wikidata.org/wiki/Q76265;Franziska Brantner;0;http://www.franziska-brantner.eu;0
Brase;Willi;SPD;http://www.willi-brase.de;1;Willi Brase;Q99705;https://www.wikidata.org/wiki/Q99705;Willi Brase;0;http://www.willi-brase.de/;0
Brauksiepe;Ralf;CDU;http://www.ralf-brauksiepe.de;;Ralf Brauksiepe;Q95841;https://www.wikidata.org/wiki/Q95841;Ralf Brauksiepe;0;http://www.ralf-brauksiepe.de/;0
Braun;Helge;CDU;http://www.helge-braun.de;1;Helge Braun;Q1602354;https://www.wikidata.org/wiki/Q1602354;Helge Braun;0;http://www.helge-braun.de/;0
Brehmer;Heike;CDU;http://www.heike-brehmer.de;;Heike Brehmer;Q1594501;https://www.wikidata.org/wiki/Q1594501;Heike Brehmer;0;http://www.heike-brehmer.de/;0
Brinkhaus;Ralph;CDU;http://www.ralph-brinkhaus.de;1;Ralph Brinkhaus;Q2129527;https://www.wikidata.org/wiki/Q2129527;Ralph Brinkhaus;0;http://www.ralph-brinkhaus.de/;0
Brugger;Agnieszka;GRÜNE;http://www.agnieszka-brugger.de;;Agnieszka Brugger;Q109309;https://www.wikidata.org/wiki/Q109309;Agnieszka Brugger;0;http://www.agnieszka-brugger.de/;0
Brunner;Karl-Heinz;SPD;https://karlheinzbrunner.de;1;Karl-Heinz Brunner;Q14946405;https://www.wikidata.org/wiki/Q14946405;Karl-Heinz Brunner;0;https://karlheinzbrunner.de/;0
Buchholz;Christine;DIE LINKE;http://christinebuchholz.de;1;Christine Buchholz;Q97732;https://www.wikidata.org/wiki/Q97732;Christine Buchholz;0;http://christinebuchholz.de/;0
