"Firstname","Lastname","gender","Party","Organization","Job","Date_Start","Date_End","Classification","Interval","Income_Min","Income_Max","Edit_URL"
"Stephan","Albani","male","CDU","Hörzentrum Oldenburg GmbH","Geschäftsführer","","","1","1","""42,000""","""147,000""","https://www.abgeordnetenwatch.de/node/178383/edit"
"Stephan","Albani","male","CDU","Kompetenzzentrum HörTech gemeinnützige GmbH","Geschäftsführer","","","2","1","""147,000""","""294,000""","https://www.abgeordnetenwatch.de/node/178385/edit"
"Stephan","Albani","male","CDU","Medizinisches Versorgungszentrum am Evangelischen Krankenhaus Oldenburg gemeinnützige GmbH","Prokurist","","","","0","","","https://www.abgeordnetenwatch.de/node/178387/edit"
"Stephan","Albani","male","CDU","""Niedersächsisches Ministerium für Wirtschaft, Arbeit und Verkehr""","Themenmanager der Landesinitiative „Zukunft schmieden“","","12/31/2013 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/178392/edit"
"Stephan","Albani","male","CDU","Bundesverband für Wirtschaftsförderung und Außenwirtschaft e.V.","Mitglied des Präsidiums","","","","0","","","https://www.abgeordnetenwatch.de/node/178393/edit"
"Stephan","Albani","male","CDU","Kompetenzzentrum Gesundheitswirtschaft GeWiNet e.V.","Mitglied des Vorstandes","","","","0","","","https://www.abgeordnetenwatch.de/node/178396/edit"
"Katrin","Albsteiger","female","CSU","Ulm/Neu-Ulm Touristik GmbH (UNT)","Mitglied des Aufsichtsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/177957/edit"
"Katrin","Albsteiger","female","CSU","Akademie für Politische Bildung Tutzing","Beisitzerin des Kuratoriums","","8/18/2014 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/177958/edit"
"Katrin","Albsteiger","female","CSU","Bundeszentrale für politische Bildung","Stellv. Mitglied des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/177959/edit"
"Katrin","Albsteiger","female","CSU","Landkreis Neu-Ulm","Mitglied des Kreistages","","","","0","","","https://www.abgeordnetenwatch.de/node/177960/edit"
"Katrin","Albsteiger","female","CSU","Stadt Neu-Ulm","Mitglied des Stadtrates","","","","0","","","https://www.abgeordnetenwatch.de/node/177961/edit"
"Katrin","Albsteiger","female","CSU","Institut für Europäische Politik e.V. (IEP)","Mitglied des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/177962/edit"
"Artur","Auernhammer","male","CSU","Bayerischer Bauernverband","Stellv. Kreisobmann","","","","0","","","https://www.abgeordnetenwatch.de/node/179714/edit"
"Artur","Auernhammer","male","CSU","Landkreis Weißenburg-Gunzenhausen","Mitglied des Kreistages","","","","0","","","https://www.abgeordnetenwatch.de/node/179715/edit"
"Artur","Auernhammer","male","CSU","Stadt Weißenburg i. Bay.","Mitglied des Stadtrates","","","","0","","","https://www.abgeordnetenwatch.de/node/179716/edit"
"Artur","Auernhammer","male","CSU","Maschinen- und Betriebshilfsring Weißenburg-Gunzenhausen e.V.","Vorsitzender des Vorstandes","","","","0","","","https://www.abgeordnetenwatch.de/node/179717/edit"
"Artur","Auernhammer","male","CSU","Landwirt","Molkerei Neuburg","1/1/2013 0:00:00","","3","0","""7,000""","""15,000""","https://www.abgeordnetenwatch.de/node/179718/edit"
"Artur","Auernhammer","male","CSU","Landwirt","NVG-bovex GmbH","1/1/2013 0:00:00","","3","0","""7,000""","""15,000""","https://www.abgeordnetenwatch.de/node/179719/edit"
"Artur","Auernhammer","male","CSU","Landwirt","Vertragspartner 1","1/1/2014 0:00:00","","4","0","""15,000""","""30,000""","https://www.abgeordnetenwatch.de/node/179720/edit"
"Artur","Auernhammer","male","CSU","Landwirt","Vertragspartner 1","1/1/2015 0:00:00","","3","0","""7,000""","""15,000""","https://www.abgeordnetenwatch.de/node/179721/edit"
"Artur","Auernhammer","male","CSU","Landwirt","Vertragspartner 1","1/1/2016 0:00:00","","3","0","""7,000""","""15,000""","https://www.abgeordnetenwatch.de/node/179722/edit"
"Artur","Auernhammer","male","CSU","Landwirt","Vertragspartner 2","1/1/2014 0:00:00","","4","0","""15,000""","""30,000""","https://www.abgeordnetenwatch.de/node/179723/edit"
"Artur","Auernhammer","male","CSU","Landwirt","Vertragspartner 3","1/1/2014 0:00:00","","5","0","""30,000""","""50,000""","https://www.abgeordnetenwatch.de/node/179724/edit"
