id,sitzung,wahlperiode,in_writing,sequence,text,speaker_cleaned,speaker_fp,filename,speaker,speaker_party,type
21064,1,17,0,163,Ich nehme die Wahl an und bedanke mich sehr herzlich.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17001.txt,Katrin Göring-Eckardt (BÜNDNIS 90/DIE GRÜNEN),gruene,speech
21066,1,17,0,165,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17001.txt,Katrin Göring-Eckardt (BÜNDNIS 90/DIE GRÜNEN),gruene,speech
22844,3,17,0,1662,Die Kollegin Dr. Kirsten Tackmann hat jetzt das Wort für die Fraktion Die Linke.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17003.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
22846,3,17,0,1664,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17003.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
22879,3,17,0,1697,Die nächste Rednerin ist Ulrike Höfken für BÜNDNIS 90/DIE GRÜNEN.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17003.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
22926,3,17,0,1744,Für die CDU/CSU-Fraktion spricht der Abgeordnete Peter Bleser.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17003.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
22929,3,17,0,1747,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17003.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
22974,3,17,0,1792,"Herr Kollege Bleser, das war jetzt schon sehr ausführlich.",Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17003.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
22981,3,17,0,1799,Die Kollegin Elvira Drobinski-Weiß spricht für die SPD-Fraktion.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17003.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
22983,3,17,0,1801,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17003.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
23023,3,17,0,1841,"Die Kollegin Dr. Christel Happach-Kasan hat das Wort für die FDP-Fraktion für den Fall, dass Herr Goldmann sie lässt.",Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17003.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
23025,3,17,0,1843,- Aber jetzt redet Ihre Kollegin.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17003.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
23027,3,17,0,1845,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17003.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
23067,3,17,0,1885,Caren Lay hat jetzt das Wort für die Fraktion Die Linke.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17003.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
23069,3,17,0,1887,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17003.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
23091,3,17,0,1909,"Frau Lay, das war Ihre erste Rede im Hohen Haus. Wir beglückwünschen Sie dazu und wünschen Ihnen alles Gute.",Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17003.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
23093,3,17,0,1911,Jetzt hat das Wort Johannes Röring für die CDU/ CSU-Fraktion.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17003.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
23096,3,17,0,1914,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17003.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
23115,3,17,0,1933,Der Kollege Dr. Wilhelm Priesmeier hat das Wort für die SPD-Fraktion.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17003.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
23117,3,17,0,1935,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17003.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
25296,4,17,0,2153,Das Wort hat jetzt der Kollege Dr. Günter Krings für die CDU/CSU-Fraktion.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17004.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
