id,sitzung,wahlperiode,in_writing,sequence,text,speaker_cleaned,speaker_fp,filename,speaker,speaker_party,type
30037,7,17,0,2019,"Frau Präsidentin! Meine sehr verehrten Damen und Herren! Ich habe jetzt gehört, an wen man alles denken muss. Ich finde das auch richtig, füge aber hinzu: Vielleicht sollten wir zuerst einmal an die bis zu 142 Toten denken, die es dort am 4. September 2009 gegeben hat.",Dr. Gregor Gysi,Dr. Gregor Gysi,data/txt/17007.txt,Dr. Gregor Gysi (DIE LINKE),linke,speech
30039,7,17,0,2021,"Es ist zu Recht darauf hingewiesen worden, mit welcher Salamitaktik wir Schritt für Schritt informiert worden sind und dass das ziemlich unerträglich war. Aber es kommt noch etwas anderes hinzu: Sie selbst haben die Situation der Staatsanwaltschaft ungeheuer erschwert, Herr Jung, weil Sie immer bestritten haben, dass dort ein Krieg stattfindet. Wenn dort kein Krieg stattfindet, dann gilt auch kein Völkerrecht und kein Kriegsrecht. Dann gilt das Strafgesetzbuch der Bundesrepublik Deutschland. Sie konnten niemals im Ernst davon ausgehen, dass eine Notwehrsituation vorlag, als die Menschen getötet worden sind.",Dr. Gregor Gysi,Dr. Gregor Gysi,data/txt/17007.txt,Dr. Gregor Gysi (DIE LINKE),linke,speech
30041,7,17,0,2023,"- Nein. - Wissen Sie, Herr Jung, manchmal ist es so: Man will aus bestimmten Gründen einen bestimmten Begriff nicht verwenden und richtet nur noch größeren Schaden an, weil man es nicht zugibt. Es ist nichts anderes als Krieg; denn es wird geschossen und auch getötet.",Dr. Gregor Gysi,Dr. Gregor Gysi,data/txt/17007.txt,Dr. Gregor Gysi (DIE LINKE),linke,speech
30043,7,17,0,2025,"Aber auch nach dem Völkerrecht war das natürlich nicht legitim, weil Zivilpersonen zu schützen sind. Hier gibt es klare Vorgaben wie „Gefahr im Verzug“ und vieles andere mehr, was hätte bedacht werden müssen. Das ist das Erste.

Das Zweite ist: Als Bundesminister sind Sie verpflichtet, in einem Ermittlungsverfahren sämtliche Unterlagen zur Verfügung zu stellen, damit die Staatsanwaltschaft tatsächlich ermitteln kann. Sie haben heute mit keinem Satz erklärt, warum das nicht geschehen ist. Die Antwort darauf sind Sie uns nach wie vor schuldig.",Dr. Gregor Gysi,Dr. Gregor Gysi,data/txt/17007.txt,Dr. Gregor Gysi (DIE LINKE),linke,speech
30045,7,17,0,2027,"Ich habe gelesen, was heute in der Bild-Zeitung stand. Wenn ich mir eine kritische Bemerkung gestatten darf: Herr zu Guttenberg, wieso immer dieser Weg? Warum können Sie nicht einfach vor die Presse treten und das erklären? Warum muss erst dafür gesorgt werden, dass eine Information an die Bild-Zeitung geht und die Bild-Zeitung das veröffentlicht, bevor Sie Stellung nehmen? Warum gehen Sie nicht von selbst den Weg, zu sagen: „Das und das habe ich als neuer Minister festgestellt, das wird offengelegt, und das ist jetzt zu korrigieren“?",Dr. Gregor Gysi,Dr. Gregor Gysi,data/txt/17007.txt,Dr. Gregor Gysi (DIE LINKE),linke,speech
30048,7,17,0,2030,"Ich habe den Artikel gelesen. Die entscheidenden Fragen haben Sie nicht beantwortet, Herr Jung: Haben Sie die Videos gesehen? Wenn nicht: Warum sind sie nicht an die Staatsanwaltschaft gegeben worden? Sie haben nun von einem Feldjägerbericht mit 42 Anlagen gesprochen. Sie haben gesagt - ich habe Sie doch richtig verstanden? -, Sie hätten ihn freigegeben, ohne ihn gelesen zu haben.",Dr. Gregor Gysi,Dr. Gregor Gysi,data/txt/17007.txt,Dr. Gregor Gysi (DIE LINKE),linke,speech
30051,7,17,0,2033,"- Moment! - Ich habe dazu eine Frage: Wie können Sie etwas freigeben, was Sie nicht einmal gelesen haben?",Dr. Gregor Gysi,Dr. Gregor Gysi,data/txt/17007.txt,Dr. Gregor Gysi (DIE LINKE),linke,speech
30053,7,17,0,2035,Nach welchen Kriterien geben Sie denn etwas frei? Das möchte ich gerne wissen.,Dr. Gregor Gysi,Dr. Gregor Gysi,data/txt/17007.txt,Dr. Gregor Gysi (DIE LINKE),linke,speech
30055,7,17,0,2037,"Meine zweite Frage: Wenn Sie den Bericht freigeben, warum geben Sie ihn nicht der Staatsanwaltschaft? Auch darauf ist hier keine Antwort erfolgt. Das geht nicht.

Ich sage Ihnen: Ich kenne schwierige Situationen, und ich weiß, wie sich das hinzieht. Ich möchte im Augenblick nicht in Ihrer Rolle stecken.",Dr. Gregor Gysi,Dr. Gregor Gysi,data/txt/17007.txt,Dr. Gregor Gysi (DIE LINKE),linke,speech
30057,7,17,0,2039,"Ich weiß, wie unangenehm das ist. - Nein, verstehen Sie: Ich sehe durchaus auch den Menschen, Sie nicht, aber ich schon. Ich habe darauf hingewiesen, dass wir in erster Linie die Toten sehen müssen. Herr Jung, Sie kommen sowieso nicht umhin, die Konsequenzen zu ziehen. Ziehen Sie es nicht in die Länge! Das hilft Ihnen nicht.",Dr. Gregor Gysi,Dr. Gregor Gysi,data/txt/17007.txt,Dr. Gregor Gysi (DIE LINKE),linke,speech
30059,7,17,0,2041,"Ich weiß auch nicht: Wer war denn noch informiert? Frau Bundeskanzlerin, haben Sie davon gewusst? Ich weiß es nicht. Warum erfolgen keine Stellungnahmen? Das wäre doch wohl das Mindeste. - Hören Sie zu! Das ist doch ein außergewöhnlicher Vorgang: Durch den Befehl eines Soldaten der Bundeswehr sind bis zu 142 Menschen gestorben; aber man erfährt so gut wie nichts und wenn, dann immer nur ein kleines Stückchen. Das geht einfach nicht. Die deutsche und die internationale Öffentlichkeit haben einen Anspruch auf Aufklärung; diesen Anspruch sollten Sie befriedigen.",Dr. Gregor Gysi,Dr. Gregor Gysi,data/txt/17007.txt,Dr. Gregor Gysi (DIE LINKE),linke,speech
30061,7,17,0,2043,"Glauben Sie mir, Herr Jung: Sie werden letztlich keine andere Wahl haben. Ziehen Sie am besten gleich die Konsequenzen! Das ist in unserem Interesse, aber auch in Ihrem.",Dr. Gregor Gysi,Dr. Gregor Gysi,data/txt/17007.txt,Dr. Gregor Gysi (DIE LINKE),linke,speech
30063,7,17,0,2045,,Dr. Gregor Gysi,Dr. Gregor Gysi,data/txt/17007.txt,Dr. Gregor Gysi (DIE LINKE),linke,speech
33954,10,17,0,240,"Herr Präsident! Meine Damen und Herren! Herr Kollege Thiele, uns können Sie nicht gemeint haben. Wir haben schon gegen die Steuergesetze der Großen Koalition protestiert; das ist bei uns nichts Neues. Wenigstens das müssen Sie uns zubilligen.",Dr. Gregor Gysi,Dr. Gregor Gysi,data/txt/17010.txt,Dr. Gregor Gysi (DIE LINKE),linke,speech
33956,10,17,0,242,"Abgesehen davon sage ich zu diesem Wachstumsbeschleunigungsgesetz, dass es eigentlich nur Wachstum für Reiche bringt, diesbezüglich beschleunigt es auch, aber von einem sozialen Ausgleich oder von einer Belebung der Wirtschaft kann überhaupt keine Rede sein.",Dr. Gregor Gysi,Dr. Gregor Gysi,data/txt/17010.txt,Dr. Gregor Gysi (DIE LINKE),linke,speech
33958,10,17,0,244,"Wir haben nachher noch einen Tagesordnungspunkt zur Kreditklemme, aber eines, Frau Bundeskanzlerin, will ich schon jetzt dazu sagen: Sie haben ja einen netten Krisengipfel organisiert. Ich finde es auch richtig, dass Sie Herrn Ackermann eingeladen haben. Völlig richtig finde ich, dass er diesmal nicht bestimmen durfte, wen Sie sonst noch einladen, sondern dass Sie das selbst entschieden haben.",Dr. Gregor Gysi,Dr. Gregor Gysi,data/txt/17010.txt,Dr. Gregor Gysi (DIE LINKE),linke,speech
33960,10,17,0,246,"Aber herausgekommen ist dabei nun wirklich gar nichts, außer dass auf freiwilliger Basis etwas geschehen soll. Wie Banken sich an etwas auf freiwilliger Basis halten, haben wir in den letzten Jahren erfahren. Im Übrigen sind die Banken zum Teil wieder reich. Welche Gehälter, welche Boni die schon wieder ihren Managern zahlen! Gleichzeitig vergeben sie so gut wie keine Kredite, aber verlangen Zinsen für Überziehungskredite und anderes. Das alles ist eine Unverschämtheit. Ich finde, dass Sie da eingreifen müssen. Wenn wir diesbezüglich Bundeseigentum hätten, könnten wir die Verantwortung ganz anders organisieren und vor allen Dingen die Kreditklemme auflösen.",Dr. Gregor Gysi,Dr. Gregor Gysi,data/txt/17010.txt,Dr. Gregor Gysi (DIE LINKE),linke,speech
