id,sitzung,wahlperiode,in_writing,sequence,text,speaker_cleaned,speaker_fp,filename,speaker,speaker_party,type
20949,1,17,0,48,"Herr Alterspräsident, ich schlage für die CDU/CSU-Bundestagsfraktion den Kollegen Dr. Norbert Lammert vor.",Volker Kauder,Volker Kauder,data/txt/17001.txt,Volker Kauder (CDU/CSU),cducsu,speech
20951,1,17,0,50,,Volker Kauder,Volker Kauder,data/txt/17001.txt,Volker Kauder (CDU/CSU),cducsu,speech
21022,1,17,0,121,Richtig!,Volker Kauder,Volker Kauder,data/txt/17001.txt,Volker Kauder [CDU/CSU],cducsu,poi
21235,3,17,0,53,So ist es!,Volker Kauder,Volker Kauder,data/txt/17003.txt,Volker Kauder [CDU/CSU],cducsu,poi
21422,3,17,0,240,Da sind Sie ja Spezialisten!,Volker Kauder,Volker Kauder,data/txt/17003.txt,Gegenruf des Abg. Volker Kauder [CDU/CSU],cducsu,poi
21515,3,17,0,333,"Ja, ja, genau! Berlin, Rot-Rot! In Berlin gibt es das!",Volker Kauder,Volker Kauder,data/txt/17003.txt,Volker Kauder [CDU/CSU],cducsu,poi
21520,3,17,0,338,Das reicht halt nicht!,Volker Kauder,Volker Kauder,data/txt/17003.txt,Volker Kauder [CDU/CSU],cducsu,poi
21618,3,17,0,436,Leistung soll sich lohnen!,Volker Kauder,Volker Kauder,data/txt/17003.txt,Volker Kauder [CDU/CSU],cducsu,poi
21688,3,17,0,506,Das ist gelungen!,Volker Kauder,Volker Kauder,data/txt/17003.txt,Volker Kauder [CDU/CSU],cducsu,poi
21781,3,17,0,599,"Das ist ja kasperhaft, was Sie da aufführen!",Volker Kauder,Volker Kauder,data/txt/17003.txt,Volker Kauder [CDU/CSU],cducsu,poi
21783,3,17,0,601,Genau!,Volker Kauder,Volker Kauder,data/txt/17003.txt,Volker Kauder [CDU/CSU],cducsu,poi
21789,3,17,0,607,Jetzt kommt der maoistische Klassenkämpfer!,Volker Kauder,Volker Kauder,data/txt/17003.txt,Volker Kauder [CDU/CSU],cducsu,poi
21836,3,17,0,654,"Herr Präsident! Meine sehr verehrten Damen und Herren! Wenn man die Regierungserklärung und die Reaktionen der Opposition darauf heute gehört hat, dann wird eines ganz deutlich: Die Wählerinnen und Wähler haben bei der letzten Bundestagswahl in der schwierigsten Finanz- und Wirtschaftskrise seit Bestehen der Bundesrepublik Deutschland den Parteien CDU, CSU und FDP den Auftrag erteilt, dieses Land durch die Krise zu führen.",Volker Kauder,Volker Kauder,data/txt/17003.txt,Volker Kauder (CDU/CSU),cducsu,speech
21838,3,17,0,656,Angesichts der Reaktionen der Opposition fühlen sich die Wählerinnen und Wähler im Nachhinein in ihrer Entscheidung bestätigt.,Volker Kauder,Volker Kauder,data/txt/17003.txt,Volker Kauder (CDU/CSU),cducsu,speech
21841,3,17,0,659,"Die Regierungskoalition hat in drei Schwerpunkten - das kann jeder auch aus der Opposition ganz einfach begreifen - festgelegt, worauf es ankommt: Arbeit durch Wachstum, Chancen durch Bildung und Zukunft durch Zusammenhalt.",Volker Kauder,Volker Kauder,data/txt/17003.txt,Volker Kauder (CDU/CSU),cducsu,speech
21844,3,17,0,662,"Das ist der Dreiklang in dieser neuen Koalition.

Bei dem Thema Arbeit durch Wachstum ist es entscheidend, dass die Menschen in ihrer Würde ernst genommen werden. Die Würde des Menschen hängt davon ab, dass er sein Leben frei gestalten kann. Die Grundlage dafür ist aber ein Arbeitsplatz und nicht der Erhalt von Hartz IV.",Volker Kauder,Volker Kauder,data/txt/17003.txt,Volker Kauder (CDU/CSU),cducsu,speech
21846,3,17,0,664,"Deswegen ist völlig klar, dass die erste Maßnahme, die diese Koalition auf den Weg bringt, eine Maßnahme ist, die für Arbeitsplätze sorgt. Wir haben uns sehr intensiv Gedanken darüber gemacht, wie wir auch in schwieriger Zeit gefährdete Arbeitsplätze erhalten können. Wir haben das fortgesetzt, was wir begonnen haben. Weil wir nicht wollten, dass aus Kurzarbeit automatisch Arbeitslosigkeit wird, wird die bestehende Regelung fortgeführt und verlängert.",Volker Kauder,Volker Kauder,data/txt/17003.txt,Volker Kauder (CDU/CSU),cducsu,speech
21848,3,17,0,666,"Aber der entscheidende Punkt ist, dass die Bundesagentur diese Aufgabe auch finanzieren kann. Deshalb hat diese Koalition einen Schutzschirm für Arbeitsplätze geschaffen, indem sie die Bundesagentur mit einem Zuschuss unterstützt.",Volker Kauder,Volker Kauder,data/txt/17003.txt,Volker Kauder (CDU/CSU),cducsu,speech
21850,3,17,0,668,"Nur so ist es überhaupt möglich, in der jetzigen Übergangsphase zu mehr Wachstum Arbeitsplätze zu erhalten.

Wenn wir sagen: „Wir wollen Arbeit durch Wachstum“, dann muss natürlich alles getan werden, was das Wachstum befördert. Deswegen wird in unserem Wachstumsbeschleunigungsgesetz in der Kürze der Zeit all das, was eine Wachstumsbremse darstellt, geändert. Deswegen gibt es Korrekturen bei der Unternehmensteuerreform, und deswegen kündigen wir an, dass wir auch diejenigen unterstützen, die den Wachstumsprozess mittragen müssen. Das ist nämlich nicht nur, wie Sie von der Opposition immer behaupten, die Wirtschaft. Vielmehr betrifft das auch jeden Arbeitnehmer und jede Arbeitnehmerin, die merken müssen, dass sich der Einsatz lohnt. Deswegen wollen wir den sogenannten Mittelstandsbauch abschaffen, damit klar wird, dass sich Leistung lohnt, dass es sich lohnt, sich in unserem Land einzusetzen. Das ist die zentrale Botschaft.",Volker Kauder,Volker Kauder,data/txt/17003.txt,Volker Kauder (CDU/CSU),cducsu,speech
21852,3,17,0,670,"Mehrfach ist heute der Begriff „verantwortete Freiheit“ gefallen. Wir wollen, dass die Menschen ihr Leben frei gestalten können und dafür eine Existenzgrundlage haben. Im 60. Jubiläumsjahr können wir in Deutschland zurückschauen. Wir wissen ganz genau: Wir haben im Rahmen der sozialen Marktwirtschaft gefordert, dass sich Leistung lohnen muss. Dafür geben wir Anreize. Diejenigen, die auf Unterstützung angewiesen sind, bekommen diese Unterstützung auch. Das ist das Entscheidende. Freiheit und Verantwortung bedeuten, auch denjenigen zu helfen, die aus eigener Kraft nicht bzw. nicht alleine vorankommen.",Volker Kauder,Volker Kauder,data/txt/17003.txt,Volker Kauder (CDU/CSU),cducsu,speech
21854,3,17,0,672,"Denjenigen zu helfen, die auf Hilfe angewiesen sind, heißt auch, den Menschen ernst zu nehmen. Es geht nicht darum, ausschließlich dafür sorgen zu wollen, ihn in dem bestehenden Zustand zu belassen: Statusabsicherung durch soziale Leistungen. Unsere Auffassung in dieser Koalition heißt: Aufstiegschancen schaffen, um nach vorne kommen zu können. Das Zementieren des Sozialhilfestatus ist nicht unsere Politik, meine sehr verehrten Damen und Herren.",Volker Kauder,Volker Kauder,data/txt/17003.txt,Volker Kauder (CDU/CSU),cducsu,speech
