id,sitzung,wahlperiode,in_writing,sequence,text,speaker_cleaned,speaker_fp,filename,speaker,speaker_party,type
23159,4,17,0,16,Das hat überwiegend die alte Regierung gemacht!,Thomas Oppermann,Thomas Oppermann,data/txt/17004.txt,Thomas Oppermann [SPD],spd,poi
23172,4,17,0,29,Sie können auch etwas dazu beitragen!,Thomas Oppermann,Thomas Oppermann,data/txt/17004.txt,Thomas Oppermann [SPD],spd,poi
23189,4,17,0,46,"Aber dort doch auch, oder?",Thomas Oppermann,Thomas Oppermann,data/txt/17004.txt,Thomas Oppermann [SPD],spd,poi
23427,4,17,0,284,Auf so was war ich auch eingestellt!,Thomas Oppermann,Thomas Oppermann,data/txt/17004.txt,Thomas Oppermann [SPD],spd,poi
26397,5,17,0,55,Die Börsen rufen danach! Die Finanzmärkte rufen danach!,Thomas Oppermann,Thomas Oppermann,data/txt/17005.txt,Thomas Oppermann [SPD],spd,poi
27479,6,17,0,81,"Sehr geehrter Herr Staatsminister von Klaeden, mit der Antwort kann man sich nicht zufriedengeben. Die Bundesregierung ist ja auch für die Einhaltung der Verfassung und die Respektierung der Rundfunkfreiheit in Deutschland zuständig und verantwortlich. Deshalb frage ich: Welche Haltung hat die Bundesregierung in dieser Frage?",Thomas Oppermann,Thomas Oppermann,data/txt/17006.txt,Thomas Oppermann (SPD),spd,speech
28098,7,17,0,80,Welche?,Thomas Oppermann,Thomas Oppermann,data/txt/17007.txt,Thomas Oppermann [SPD],spd,poi
28102,7,17,0,84,Ist das alles?,Thomas Oppermann,Thomas Oppermann,data/txt/17007.txt,Thomas Oppermann [SPD],spd,poi
28370,7,17,0,352,"Frau Präsidentin! Meine Damen und Herren! Der Verteidigungsminister hat heute Morgen hier erklärt, dass er uns als Parlament direkt darüber informiert, dass der Generalinspekteur militärisch Verantwortung übernommen hat und dass der Staatssekretär administrativ Verantwortung übernommen hat. Uns wurde aber nicht erklärt, wer die politische Verantwortung trägt.",Thomas Oppermann,Thomas Oppermann,data/txt/17007.txt,Thomas Oppermann (SPD),spd,speech
28372,7,17,0,354,"Der amtierende Verteidigungsminister war noch nicht zuständig, als sich die Luftangriffe in Afghanistan ereigneten. Aber der damals zuständige und verantwortliche Minister ist heute hier im Plenum. Wenn wir jetzt hören, dass ein Interview mit dem Verteidigungsminister a. D. Jung bei Phoenix bevorsteht, dann finde ich, dass das Parlament den Anspruch und das Recht hat, vorher persönlich Herrn Jung zu hören.",Thomas Oppermann,Thomas Oppermann,data/txt/17007.txt,Thomas Oppermann (SPD),spd,speech
28374,7,17,0,356,"Wenn Herr Jung als nicht mehr zuständiger Minister hier nicht reden darf, dann muss allerdings jemand anderes die politische Verantwortung übernehmen und über die politische Verantwortung reden. Wenn Herr Jung es nicht tun kann, dann kann es nur die Person tun, die damals im Amt war und heute im Amt ist; das ist die Bundeskanzlerin.",Thomas Oppermann,Thomas Oppermann,data/txt/17007.txt,Thomas Oppermann (SPD),spd,speech
28377,7,17,0,359,"Ich beantrage zunächst, dass der Informationsanspruch des Parlamentes dadurch erfüllt wird, dass jetzt Verteidigungsminister a. D. Jung das Wort erhält.",Thomas Oppermann,Thomas Oppermann,data/txt/17007.txt,Thomas Oppermann (SPD),spd,speech
28380,7,17,0,362,,Thomas Oppermann,Thomas Oppermann,data/txt/17007.txt,Thomas Oppermann (SPD),spd,speech
32881,9,17,0,1392,Da drüben sitzt die Regierung!,Thomas Oppermann,Thomas Oppermann,data/txt/17009.txt,Thomas Oppermann [SPD],spd,poi
32884,9,17,0,1395,Ihr Freund Milosevic! Gysi war doch bei Milosevic und wollte Jugoslawien retten!,Thomas Oppermann,Thomas Oppermann,data/txt/17009.txt,Thomas Oppermann [SPD],spd,poi
33278,9,17,0,1789,Geben Sie ihm zwei Minuten ab!,Thomas Oppermann,Thomas Oppermann,data/txt/17009.txt,Thomas Oppermann [SPD],spd,poi
33813,10,17,0,99,Zum Fenster raus!,Thomas Oppermann,Thomas Oppermann,data/txt/17010.txt,Thomas Oppermann [SPD],spd,poi
33854,10,17,0,140,Eben!,Thomas Oppermann,Thomas Oppermann,data/txt/17010.txt,Thomas Oppermann [SPD],spd,poi
33860,10,17,0,146,Was machen Sie denn?,Thomas Oppermann,Thomas Oppermann,data/txt/17010.txt,Thomas Oppermann [SPD],spd,poi
33939,10,17,0,225,Das war aber sehr kurz!,Thomas Oppermann,Thomas Oppermann,data/txt/17010.txt,Thomas Oppermann [SPD],spd,poi
35540,11,17,0,405,"Frau Präsidentin, der Brief, nach dem eben gefragt worden ist, betrifft die Umstände der Entlassung von Staatssekretär Wichert. Der Brief ist offenkundig an den Bundesverteidigungsminister zu Guttenberg geschrieben. Wir wollen Auskunft über den Inhalt dieses Briefes. Ganz offenkundig kann das nur der Bundesverteidigungsminister selbst. Deshalb verlange ich, dass er jetzt herbeigerufen wird.",Thomas Oppermann,Thomas Oppermann,data/txt/17011.txt,Thomas Oppermann (SPD),spd,speech
35543,11,17,0,408,,Thomas Oppermann,Thomas Oppermann,data/txt/17011.txt,Thomas Oppermann (SPD),spd,speech
35551,11,17,0,416,An den Minister!,Thomas Oppermann,Thomas Oppermann,data/txt/17011.txt,Thomas Oppermann [SPD],spd,poi
35583,11,17,0,448,Aber er hat es doch gemacht!,Thomas Oppermann,Thomas Oppermann,data/txt/17011.txt,Thomas Oppermann [SPD],spd,poi
35844,11,17,0,709,"Welche, Herr Guttenberg?",Thomas Oppermann,Thomas Oppermann,data/txt/17011.txt,Thomas Oppermann [SPD],spd,poi
35846,11,17,0,711,Das war alles in dem Bericht!,Thomas Oppermann,Thomas Oppermann,data/txt/17011.txt,Thomas Oppermann [SPD],spd,poi
35849,11,17,0,714,Er sagt aber noch etwas anderes!,Thomas Oppermann,Thomas Oppermann,data/txt/17011.txt,Thomas Oppermann [SPD],spd,poi
35855,11,17,0,720,Der Beifall wird immer schwächer!,Thomas Oppermann,Thomas Oppermann,data/txt/17011.txt,Thomas Oppermann [SPD],spd,poi
35940,11,17,0,805,"Frau Präsidentin! Sehr geehrter Herr zu Guttenberg, vor Ihrer Rede habe ich mich gefragt, warum Außenminister Westerwelle heute in einer so wichtigen verteidigungs- und außenpolitischen Debatte eigentlich nicht da ist,",Thomas Oppermann,Thomas Oppermann,data/txt/17011.txt,Thomas Oppermann (SPD),spd,speech
35942,11,17,0,807,"um Ihnen nicht wenigstens durch seine physische Anwesenheit Unterstützung zu leisten. Nach Ihrer Rede weiß ich, warum er nicht gekommen ist. In diese Sache will er sich nicht hineinziehen lassen.",Thomas Oppermann,Thomas Oppermann,data/txt/17011.txt,Thomas Oppermann (SPD),spd,speech
35945,11,17,0,810,"Sie haben hier eben unter Hinweis auf den Untersuchungsausschuss kritisiert, es sei Klamauk, wenn Sie jetzt gleichzeitig gebeten würden, einen Bericht im Verteidigungsausschuss vorzulegen. Ich muss Sie einmal darauf hinweisen, dass die Rechtsprechung des Bundesverfassungsgerichtes erst in diesem Sommer eindeutig klargestellt hat, dass der Grundsatz der parlamentarischen Verantwortlichkeit der Regierung durch Untersuchungsausschüsse in keiner Weise ersetzt wird. Sie werden sich in den nächsten Wochen und Monaten daran gewöhnen müssen, dass wir diese Frage nicht nur im Untersuchungsausschuss, sondern auch im Plenum des Deutschen Bundestages diskutieren.",Thomas Oppermann,Thomas Oppermann,data/txt/17011.txt,Thomas Oppermann (SPD),spd,speech
35947,11,17,0,812,"Herr zu Guttenberg, es wäre auch angemessen, wenn Sie künftig zur Fragestunde kämen und nicht nur den Staatssekretär schickten. Wer bei Beckmann antwortet, der kann auch im Bundestag antworten.",Thomas Oppermann,Thomas Oppermann,data/txt/17011.txt,Thomas Oppermann (SPD),spd,speech
35950,11,17,0,815,"Wer das ablehnt, der hat ein komisches parlamentarisches Verständnis.",Thomas Oppermann,Thomas Oppermann,data/txt/17011.txt,Thomas Oppermann (SPD),spd,speech
35953,11,17,0,818,,Thomas Oppermann,Thomas Oppermann,data/txt/17011.txt,Thomas Oppermann (SPD),spd,speech
35979,11,17,0,844,"Ich komme zum Schluss. - Ich bin sicher,",Thomas Oppermann,Thomas Oppermann,data/txt/17011.txt,Thomas Oppermann (SPD),spd,speech
35981,11,17,0,846,"dass Sie, wenn Sie nicht die Wahrheit gesagt haben, am Ende von sich aus Ihren Platz räumen. Ein Verteidigungsminister muss die Wahrheit sagen. Ein Verteidigungsminister, der nicht die Wahrheit sagt, ist nicht tragbar.",Thomas Oppermann,Thomas Oppermann,data/txt/17011.txt,Thomas Oppermann (SPD),spd,speech
35985,11,17,0,850,,Thomas Oppermann,Thomas Oppermann,data/txt/17011.txt,Thomas Oppermann (SPD),spd,speech
35990,11,17,0,855,Hat ja geklappt!,Thomas Oppermann,Thomas Oppermann,data/txt/17011.txt,Thomas Oppermann [SPD],spd,poi
39422,13,17,0,77,Sagen Sie doch mal was zu den russischen Oligarchen!,Thomas Oppermann,Thomas Oppermann,data/txt/17013.txt,Thomas Oppermann [SPD],spd,poi
40232,14,17,0,96,"Herr Präsident! Meine Damen und Herren! Lieber Kollege Altmaier, wer in der falschen Sache immer wieder gewinnt, kann trotzdem der Verlierer sein.",Thomas Oppermann,Thomas Oppermann,data/txt/17014.txt,Thomas Oppermann (SPD),spd,speech
40235,14,17,0,99,"Bei einer Umfrage von n-tv heute Morgen, ob die Bundesregierung käuflich sei, haben 82 Prozent mit Ja und 8 Prozent mit Nein geantwortet.",Thomas Oppermann,Thomas Oppermann,data/txt/17014.txt,Thomas Oppermann (SPD),spd,speech
40237,14,17,0,101,"Ich weiß nicht, ob die Spenden von 820 000 Euro an die CSU und von 1,1 Millionen Euro an die FDP durch Baron August von Finck mit dem Parteiengesetz vereinbar sind. Das wird der Präsident des Deutschen Bundestages prüfen. Wir warten das Ergebnis dieser Prüfung ab.

Eines können wir aber schon heute feststellen: Das Mehrwertsteuergeschenk für Hotelketten ist mit den Grundsätzen des allgemeinen Wohls im demokratischen und sozialen Rechtsstaat in eklatanter Weise unvereinbar.",Thomas Oppermann,Thomas Oppermann,data/txt/17014.txt,Thomas Oppermann (SPD),spd,speech
40239,14,17,0,103,Dieses allgemeine Wohl wird nicht durch die Summe mächtiger Einzelinteressen definiert.,Thomas Oppermann,Thomas Oppermann,data/txt/17014.txt,Thomas Oppermann (SPD),spd,speech
