id,sitzung,wahlperiode,in_writing,sequence,text,speaker_cleaned,speaker_fp,filename,speaker,speaker_party,type
23356,4,17,0,213,"Herr Präsident! Meine Damen und Herren! Die britische BBC hat dieser Tage eine sehr interessante Studie veröffentlicht. Im Rahmen dieser Studie wurden Menschen aus 27 Ländern befragt. Ich denke, die Ergebnisse dieser Studie sind außerordentlich bemerkenswert. Sie besagen nämlich, dass noch ganze 11 Prozent der Bevölkerung in diesen Ländern den Kapitalismus in der Form, wie wir ihn heute haben, für eine funktionierende Wirtschaftsordnung halten. 51 Prozent der Befragten fordern eine stärkere Regulierung der Märkte.",Sahra Wagenknecht,Sahra Wagenknecht,data/txt/17004.txt,Sahra Wagenknecht (DIE LINKE),linke,speech
23358,4,17,0,215,"Immerhin 23 Prozent meinen sogar, dass eine vollkommen neue Wirtschaftsordnung geschaffen werden muss.

Wenn man sich im Gegensatz dazu anhört, was Herr Brüderle hier vorgetragen hat, dann muss man sich schon fragen: Wo leben Sie denn eigentlich?",Sahra Wagenknecht,Sahra Wagenknecht,data/txt/17004.txt,Sahra Wagenknecht (DIE LINKE),linke,speech
23360,4,17,0,217,"Irren mag ja menschlich sein. Aber wer an einer Politik festhält, die ihre Unfähigkeit zur Lösung der ökonomischen Probleme in den letzten Jahren eindeutig unter Beweis gestellt hat, der ist meines Erachtens kein Irrender.",Sahra Wagenknecht,Sahra Wagenknecht,data/txt/17004.txt,Sahra Wagenknecht (DIE LINKE),linke,speech
23362,4,17,0,219,Er ist entweder komplett lernunfähig oder von bestimmten Interessen gekauft.,Sahra Wagenknecht,Sahra Wagenknecht,data/txt/17004.txt,Sahra Wagenknecht (DIE LINKE),linke,speech
23364,4,17,0,221,"Was wir seit 2008 erleben, ist die schwerste Weltwirtschaftskrise seit den 30er-Jahren des letzten Jahrhunderts. Wer glaubt, es ginge irgendwann einfach so weiter wie vor 2008, der hat, denke ich, die Dimension dieser Krise überhaupt nicht begriffen. Deutschland hat in den Jahren 2002 bis 2008 insgesamt Exportüberschüsse in einer Größenordnung von 900 Milliarden Euro aufgehäuft. Dieser Exportirrsinn und die Hyperverschuldung der amerikanischen Konsumenten sind zwei Seiten einer Medaille gewesen. Die vielzitierten Schrottpapiere in den Bankbilanzen, über die wir seit zwei Jahren reden, sind ein Ergebnis dieses Zusammenspiels. Das muss man doch begreifen.",Sahra Wagenknecht,Sahra Wagenknecht,data/txt/17004.txt,Sahra Wagenknecht (DIE LINKE),linke,speech
23366,4,17,0,223,"Wer im Ernst glaubt, er könne einfach so weitermachen wie bisher, der möge uns doch schon einmal vorsorglich erklären, wer die Verluste des nächsten Millionencrashs übernehmen soll: wieder der Steuerzahler auf Kosten der Staatsverschuldung oder wer sonst?

Was der deutschen Wirtschaft fehlt, sind, denke ich, nicht neue Exporterfolge, sondern das ist Nachfrage hier im Land, in der Bundesrepublik Deutschland. Diese Nachfrage fehlt nicht, weil die Menschen etwa keine Lust zum Konsumieren hätten, sondern diese Nachfrage fehlt, weil immer mehr Menschen nicht genug Geld im Portemonnaie haben, um sich die Dinge leisten zu können, die sie brauchen und die sie sich leisten können möchten.

Das ist das Ergebnis einer jahrelangen Politik des Lohndumpings, einer jahrelangen Politik der Deregulierung, einer jahrelangen Politik der Privatisierung und des Sozialraubs. Das ist das Ergebnis dieser Politik, die schon unter Rot-Grün gemacht und unter der Großen Koalition fortgesetzt wurde. Genau diese wahnwitzige Politik wollen Sie jetzt weitermachen. Das ist eine Politik, die Mehrheiten in diesem Lande ärmer gemacht hat, und es ist eine Politik, die die oberen Zehntausend in beispielloser Weise bereichert hat.",Sahra Wagenknecht,Sahra Wagenknecht,data/txt/17004.txt,Sahra Wagenknecht (DIE LINKE),linke,speech
23368,4,17,0,225,"Deutschland ist dank der Reformen der letzten Jahre schon längst ein Steuer-Eldorado für große Konzerne und Multimillionäre. Das Aufkommen aus der Erbschaftsteuer ist lächerlich im internationalen Vergleich, und da erzählen Sie uns, weitere Steuergeschenke für Unternehmer und Reiche würden die Konjunktur ankurbeln. Wenn das so stimmen würde, dann hätten wir in der Bundesrepublik seit der Jahrtausendwende den grandiosesten Wirtschaftsboom der deutschen Nachkriegsgeschichte erleben müssen. Denn genau das, was Sie jetzt vertreten, ist doch schon die ganze Zeit gemacht worden.",Sahra Wagenknecht,Sahra Wagenknecht,data/txt/17004.txt,Sahra Wagenknecht (DIE LINKE),linke,speech
23370,4,17,0,227,"Also hören Sie bitte auf, solche Phrasen zu dreschen! Sie wollen die Regierung der Mitte sein, und Sie setzen nahtlos eine Politik fort, in deren Folge die Mittelschichten in der Bundesrepublik Jahr für Jahr geschrumpft sind. Sie wollen eine Koalition des Mittelstands sein. Sie schauen aber zu, wie die Banken kleinen und mittleren Unternehmen den Kredithahn zudrehen. Alles, was Ihnen dazu einfällt, sind moralische Appelle - moralische Appelle wohlgemerkt genau an die Banken, bei denen Sie schon Milliarden an Steuergeld versenkt haben. Warum haben Sie sich für das verdammt viele Geld nicht wenigstens ein Mindestmaß an Mitsprache und Einfluss gesichert?",Sahra Wagenknecht,Sahra Wagenknecht,data/txt/17004.txt,Sahra Wagenknecht (DIE LINKE),linke,speech
23372,4,17,0,229,"Das betrifft durchaus nicht nur die Banken, die direkt vom SoFFin gestützt werden. Auch die Deutsche Bank wäre doch längst bankrott, wenn der Steuerzahler in diesem Land nicht mit Milliarden und Abermilliarden für die Rettung der IKB und vor allem für die Rettung der Hypo Real Estate bluten würde und noch bluten wird. Es ist doch unser aller Geld, mit dem diese Banker längst wieder auf internationalem Parkett zocken gehen. Es ist unser aller Geld, mit dem Herr Ackermann schon wieder Dividenden verteilt, statt sich um die Kreditversorgung der Wirtschaft zu kümmern.

Repräsentanten eines Staates, die sich von Bankvorständen oder vom Management gewisser Automobilkonzerne wie dumme Tanzbären am Nasenring durch die Manege ziehen lassen, entwürdigen die Demokratie. Dann dürfen Sie sich auch nicht wundern, wenn sich immer mehr Menschen von dieser Art von Politik angewidert abwenden.",Sahra Wagenknecht,Sahra Wagenknecht,data/txt/17004.txt,Sahra Wagenknecht (DIE LINKE),linke,speech
23374,4,17,0,231,"Wir brauchen kein Weiter-so! Wir brauchen einen politischen Neuanfang und perspektivisch eine andere Wirtschaftsordnung. Wir brauchen eine andere Wirtschaftsordnung, weil dieser entfesselte Kapitalismus, der mit den Ideen der sozialen Marktwirtschaft längst nicht mehr das Geringste zu tun hat, eine kleine Schicht von Leuten, nämlich die Besitzer großer Kapitalvermögen, in beispielloser Weise gegenüber allen anderen Gruppen der Gesellschaft privilegiert und zu einer Einkommensverteilung führt, die die Einkommen genau bei denjenigen konzentriert, die sowieso schon viel zu viel haben. Das ist doch die eigentliche Ursache der bestehenden Ungleichgewichte, die eigentliche Ursache der Krisen und die eigentliche Ursache des wirtschaftlichen Niedergangs.",Sahra Wagenknecht,Sahra Wagenknecht,data/txt/17004.txt,Sahra Wagenknecht (DIE LINKE),linke,speech
