id,sitzung,wahlperiode,in_writing,sequence,text,speaker_cleaned,speaker_fp,filename,speaker,speaker_party,type
153031,77,17,0,0,"Guten Tag, liebe Kolleginnen und Kollegen! Die Sitzung ist eröffnet.

Zu Beginn dieser Sitzung habe ich die hochvergnügliche Aufgabe, dem Kollegen Heinz Riesenhuber zu seinem heutigen 75. Geburtstag zu gratulieren.",Dr. h. c. Wolfgang Thierse,,data/txt/17077.txt,Vizepräsident Dr. h. c. Wolfgang Thierse,,chair
153032,77,17,0,1,Beifall,,,data/txt/17077.txt,,,poi
153033,77,17,0,2,"Ich wünsche Ihnen im Namen des Hauses alles Gute. Natürlich wünschen wir uns alle, dass Sie uns weiterhin so interessante und vergnügliche Reden halten; das ist in diesem Hause wahrlich nicht selbstverständlich.",Dr. h. c. Wolfgang Thierse,,data/txt/17077.txt,Vizepräsident Dr. h. c. Wolfgang Thierse,,chair
153034,77,17,0,3,Beifall bei der CDU/CSU sowie bei Abgeordneten der FDP,,,data/txt/17077.txt,,,poi
153035,77,17,0,4,"Zur Tagesordnung: Interfraktionell wurde vereinbart, die heutige Tagesordnung um den Zusatzpunkt 1 zu erweitern:

Beratung des Antrags der Abgeordneten Ulla Lötzer, Sabine Leidig, Eva Bulling-Schröter, weiterer Abgeordneter und der Fraktion DIE LINKE

Einsetzung einer Enquete-Kommission ""Wachstum, Wohlstand, Lebensqualität - Wege zu nachhaltigem Wirtschaften und gesellschaftlichem Fortschritt""

- Drucksache 17/3990 -

Sind Sie damit einverstanden? - Ich höre keinen Widerspruch. Dann ist das so beschlossen.

Ich rufe nun den Tagesordnungspunkt 1 auf:

Erste Beratung des von der Bundesregierung eingebrachten Entwurfs eines Gesetzes zur Ermittlung von Regelbedarfen und zur Änderung des Zweiten und Zwölften Buches Sozialgesetzbuch

- Drucksachen 17/3958, 17/3982 -

Überweisungsvorschlag:

Ausschuss für Arbeit und Soziales (f)

Innenausschuss

Sportausschuss

Rechtsausschuss

Finanzausschuss

Ausschuss für Wirtschaft und Technologie

Ausschuss für Familie, Senioren, Frauen und Jugend

Ausschuss für Gesundheit

Ausschuss für Verkehr, Bau und Stadtentwicklung

Ausschuss für Bildung, Forschung und Technikfolgenabschätzung

Ausschuss für Kultur und Medien

Haushaltsausschuss mitberatend und gemäß § 96 GO

Kollege Beck meldet sich zur Geschäftsordnung. Bitte schön, Kollege Beck.",Dr. h. c. Wolfgang Thierse,,data/txt/17077.txt,Vizepräsident Dr. h. c. Wolfgang Thierse,,chair
153036,77,17,0,5,"Ich bitte, den Bundeswirtschaftsminister für den nächsten Tagesordnungspunkt herbeizuzitieren. Dass die Regierungsbank ganz leer und die Bundesregierung überhaupt nicht zugegen ist, wenn wir nachher über Wachstumspolitik und darüber, welches Wachstum wir wollen, ob wir Wachstum brauchen, oder ob wir Ressourcenverbrauch und Wachstum entkoppeln können, reden, ist einfach nicht hinzunehmen.",Volker Beck,,data/txt/17077.txt,Volker Beck (Köln) (BÜNDNIS 90/DIE GRÜNEN),gruene,speech
153037,77,17,0,6,Beifall beim BÜNDNIS 90/DIE GRÜNEN,,,data/txt/17077.txt,,,poi
153038,77,17,0,7,,Volker Beck,,data/txt/17077.txt,Volker Beck (Köln) (BÜNDNIS 90/DIE GRÜNEN),gruene,speech
153039,77,17,0,8,"Kollege Koppelin, bitte schön.",Dr. h. c. Wolfgang Thierse,,data/txt/17077.txt,Vizepräsident Dr. h. c. Wolfgang Thierse,,chair
153040,77,17,0,9,"Kollege Beck, das ist ein interessanter Antrag; ich kann Ihr Anliegen auch verstehen. Ich denke allerdings, wir müssen noch einmal darüber beraten. Deswegen bitte ich um Unterbrechung der Sitzung für eine Fraktionssitzung der FDP-Fraktion.",Dr. h. c. Jürgen Koppelin,,data/txt/17077.txt,Dr. h. c. Jürgen Koppelin (FDP),fdp,speech
153041,77,17,0,10,Herr Kollege Altmaier.,Dr. h. c. Wolfgang Thierse,,data/txt/17077.txt,Vizepräsident Dr. h. c. Wolfgang Thierse,,chair
153042,77,17,0,11,Das hat sich dann erledigt!,Peter Altmaier,,data/txt/17077.txt,Peter Altmaier [CDU/CSU],cducsu,poi
153043,77,17,0,12,"Ich will die Anmerkung machen, dass ich es für ungewöhnlich halte, dass zu Beginn unserer Debatte, in der wir ein wirklich wichtiges Thema behandeln, kein Vertreter der Bundesregierung anwesend ist. - Gerade in diesem Moment ist jemand eingetroffen; aber zu dem Zeitpunkt, als sich Herr Beck geäußert hat, konnte er zu Recht darauf hinweisen, dass die Regierungsbank leer ist.",Dr. h. c. Wolfgang Thierse,,data/txt/17077.txt,Vizepräsident Dr. h. c. Wolfgang Thierse,,chair
153044,77,17,0,13,Da hat er recht!,Dr. h. c. Jürgen Koppelin,,data/txt/17077.txt,Dr. h. c. Jürgen Koppelin [FDP],fdp,poi
153045,77,17,0,14,Das ist - darüber sind wir uns ja einig - ungehörig.,Dr. h. c. Wolfgang Thierse,,data/txt/17077.txt,Vizepräsident Dr. h. c. Wolfgang Thierse,,chair
153046,77,17,0,15,Schwierige Verkehrssituation!,Dr. h. c. Jürgen Koppelin,,data/txt/17077.txt,Dr. h. c. Jürgen Koppelin [FDP],fdp,poi
153047,77,17,0,16,Der Antrag der Fraktion der FDP gilt also. Wie lange wünschen Sie eine Unterbrechung?,Dr. h. c. Wolfgang Thierse,,data/txt/17077.txt,Vizepräsident Dr. h. c. Wolfgang Thierse,,chair
153048,77,17,0,17,"20 Minuten, Herr Präsident!",Dr. h. c. Jürgen Koppelin,,data/txt/17077.txt,Dr. h. c. Jürgen Koppelin [FDP],fdp,poi
153049,77,17,0,18,- 20 Minuten. Dann ist die Sitzung für 20 Minuten unterbrochen.,Dr. h. c. Wolfgang Thierse,,data/txt/17077.txt,Vizepräsident Dr. h. c. Wolfgang Thierse,,chair
153050,77,17,0,19,Unterbrechung von 13.03 bis 13.23 Uhr,,,data/txt/17077.txt,,,poi
153051,77,17,0,20,,Dr. h. c. Wolfgang Thierse,,data/txt/17077.txt,Vizepräsident Dr. h. c. Wolfgang Thierse,,chair
153052,77,17,0,21,"Liebe Kolleginnen und Kollegen! Die unterbrochene Sitzung ist wieder eröffnet.

Herr Kollege Koppelin möchte einen Antrag zur Geschäftsordnung stellen.",Dr. h. c. Wolfgang Thierse,,data/txt/17077.txt,Vizepräsident Dr. h. c. Wolfgang Thierse,,chair
153053,77,17,0,22,"Herr Präsident! Wir haben in der FDP-Fraktion über den Antrag von Bündnis 90/Die Grünen beraten. Wir sind zu dem Ergebnis gekommen, dass wir den Antrag ablehnen.",Dr. h. c. Jürgen Koppelin,,data/txt/17077.txt,Dr. h. c. Jürgen Koppelin (FDP),fdp,speech
153054,77,17,0,23,Beifall bei der FDP sowie bei Abgeordneten der CDU/CSU,,,data/txt/17077.txt,,,poi
153055,77,17,0,24,Oh! Sie sind wahrscheinlich nur nicht auf den Namen des Wirtschaftsministers gekommen!,Volker Beck,,data/txt/17077.txt,Volker Beck [Köln] [BÜNDNIS 90/DIE GRÜNEN],gruene,poi
153056,77,17,0,25,,Dr. h. c. Jürgen Koppelin,,data/txt/17077.txt,Dr. h. c. Jürgen Koppelin (FDP),fdp,speech
153057,77,17,0,26,"Herr Kollege Beck, bestehen Sie auf Ihrem Antrag?",Dr. h. c. Wolfgang Thierse,,data/txt/17077.txt,Vizepräsident Dr. h. c. Wolfgang Thierse,,chair
153058,77,17,0,27,Wir halten ihn aufrecht! Sie können ja darüber abstimmen lassen! Voraussichtlich wird sich die Mehrheit in diesem Hause durchsetzen!,Volker Beck,,data/txt/17077.txt,Volker Beck [Köln] [BÜNDNIS 90/DIE GRÜNEN],gruene,poi
153059,77,17,0,28,"Also: Der Kollege Beck hat für seine Fraktion den Antrag gestellt, den Herrn Wirtschaftsminister Brüderle zur folgenden Debatte herbeizurufen. Wer stimmt für diesen Antrag? - Wer stimmt dagegen? - Enthaltungen? - Der Antrag ist mit den Stimmen der beiden Koalitionsfraktionen gegen die Stimmen der Oppositionsfraktionen abgelehnt.",Dr. h. c. Wolfgang Thierse,,data/txt/17077.txt,Vizepräsident Dr. h. c. Wolfgang Thierse,,chair
153060,77,17,0,29,Beifall bei der CDU/CSU und der FDP,,,data/txt/17077.txt,,,poi
