id,sitzung,wahlperiode,in_writing,sequence,text,speaker_cleaned,speaker_fp,filename,speaker,speaker_party,type
352260,193,17,0,0,"Die Sitzung ist eröffnet. Nehmen Sie bitte Platz.

Guten Morgen, liebe Kolleginnen und Kollegen! Ich begrüße Sie zum letzten Tag unserer Haushaltsberatungen - Tagesordnungspunkt 1 -:

a)	Erste Beratung des von der Bundesregierung eingebrachten Entwurfs eines Gesetzes über die Feststellung des Bundeshaushaltsplans für das Haushaltsjahr 2013 (Haushaltsgesetz 2013)

- Drucksache 17/10200 -

Überweisungsvorschlag:

Haushaltsausschuss

b)	Beratung der Unterrichtung durch die Bundes-regierung

Finanzplan des Bundes 2012 bis 2016

- Drucksache 17/10201 -

Überweisungsvorschlag:

Haushaltsausschuss

Wir haben für die heutige Aussprache eine Redezeit von insgesamt dreieinhalb Stunden beschlossen.

Wir beginnen den heutigen Tag der Haushaltsberatungen mit dem Geschäftsbereich des Bundesministeriums für Verkehr, Bau und Stadtentwicklung, Einzelplan 12.

Ich begrüße den zuständigen Bundesminister und erteile ihm gleich zu Beginn das Wort. Herr Dr. Ramsauer, bitte schön.",Dr. Norbert Lammert,,data/txt/17193.txt,Präsident Dr. Norbert Lammert,,chair
352261,193,17,0,1,Beifall bei der CDU/CSU und der FDP,,,data/txt/17193.txt,,,poi
352262,193,17,0,2,,Dr. Norbert Lammert,,data/txt/17193.txt,Präsident Dr. Norbert Lammert,,chair
352263,193,17,0,3,"Sehr geehrter Herr Präsident! Liebe Kolleginnen und Kollegen! Meine Damen und Herren! Man kann es nicht oft genug betonen: Mobilität, Bauen und Wohnen zählen zu den elementaren Grundbedürfnissen der Menschen. Deshalb haben die Bürgerinnen und Bürger unseres Landes einen Anspruch auf Verlässlichkeit in diesem Politikbereich.",Dr. Peter Ramsauer,,data/txt/17193.txt,"Dr. Peter Ramsauer, Bundesminister für Verkehr, Bau und Stadtentwicklung",,speech
352264,193,17,0,4,Das stimmt -allerdings!,Hans-Joachim Hacker,,data/txt/17193.txt,Hans-Joachim Hacker [SPD],spd,poi
352265,193,17,0,5,"Diese Verlässlichkeit wollen wir gewährleisten. Es ist daher folgerichtig, dass der - technisch gesagt - Einzelplan 12, der Haushalt des Bundesministeriums für Verkehr, Bau und Stadtentwicklung, unter allen Haushalten der größte Investitionshaushalt ist und mehr als die Hälfte aller Investitionen birgt, die der Bund tätigt.

Ich möchte mit einem Thema beginnen, das auf den ersten Blick nicht unbedingt in Zusammenhang mit dem steht, was sonst bei uns an vorderster Stelle steht, nämlich der Verkehr. Es handelt sich um - davon war schon mehrfach in dieser Woche die Rede - die Beiträge zur Energiewende, die aus meinem Fachbereich zum Gelingen dieses Jahrhundertwerks geleistet werden. Wir wissen, dass etwa 70 Prozent der gesamten Primärenergie durch den Verkehr und im Gebäudebereich verbraucht werden. Dementsprechend wichtig sind unsere Beiträge zum Gelingen der Energiewende. Wir alle können froh darüber sein, dass das Gebäudesanierungsprogramm bis einschließlich 2014 verlässlich mit 1,5 Milliarden Euro dotiert ist. Das Gebäudesanierungsprogramm, welches im Jahr 2006 begann, hat sich als absoluter Renner erwiesen. Wir müssen alles daransetzen, dass dieses Programm zur energetischen Gebäudesanierung auch in Zukunft ein Zugpferd der Energiewende bleibt.",Dr. Peter Ramsauer,,data/txt/17193.txt,"Dr. Peter Ramsauer, Bundesminister für Verkehr, Bau und Stadtentwicklung",,speech
352266,193,17,0,6,Beifall bei der CDU/CSU und der FDP,,,data/txt/17193.txt,,,poi
352267,193,17,0,7,"Wir, der Deutsche Bundestag, haben vor gut einem Jahr das Gesetz zur steuerlichen Förderung von energetischen Sanierungsmaßnahmen an Wohngebäuden verabschiedet, ein - wenn ich das so bezeichnen darf - absolutes Muss; denn viele, die willig sind, ihre Gebäude zu sanieren, können zwar etwas mit der KfW-Förderung anfangen. Aber die steuerliche Förderung ist wesentlich passgenauer. Es gibt gewaltige Erwartungen. Wie Sie wissen, wird dieses Gesetz seit letztem Jahr vom Bundesrat blockiert.",Dr. Peter Ramsauer,,data/txt/17193.txt,"Dr. Peter Ramsauer, Bundesminister für Verkehr, Bau und Stadtentwicklung",,speech
352268,193,17,0,8,Von einer -bestimmten Mehrheit!,Wolfgang Zöller,,data/txt/17193.txt,Wolfgang Zöller [CDU/CSU],cducsu,poi
352269,193,17,0,9,Es wird natürlich laufend verhandelt. Ich appelliere an dieser Stelle abermals an SPD und Grüne: Bitte geben Sie die Blockade im Bundesrat auf.,Dr. Peter Ramsauer,,data/txt/17193.txt,"Dr. Peter Ramsauer, Bundesminister für Verkehr, Bau und Stadtentwicklung",,speech
352270,193,17,0,10,Beifall bei der CDU/CSU und der FDP,,,data/txt/17193.txt,,,poi
352271,193,17,0,11,"Die Energiewende zu predigen, aber in der praktischen Umsetzung zu blockieren, das kann ich nicht durchgehen lassen.",Dr. Peter Ramsauer,,data/txt/17193.txt,"Dr. Peter Ramsauer, Bundesminister für Verkehr, Bau und Stadtentwicklung",,speech
352272,193,17,0,12,Beifall bei der CDU/CSU und der FDP,,,data/txt/17193.txt,,,poi
352273,193,17,0,13,Ihren Unsinn muss man verhindern!,Gustav Herzog,,data/txt/17193.txt,Gustav Herzog [SPD],spd,poi
352274,193,17,0,14,Ich schlage damit eine Brücke zur Städtebauförderung.,Dr. Peter Ramsauer,,data/txt/17193.txt,"Dr. Peter Ramsauer, Bundesminister für Verkehr, Bau und Stadtentwicklung",,speech
352275,193,17,0,15,"Super, was Sie machen!",Sören Bartol,,data/txt/17193.txt,Sören Bartol [SPD],spd,poi
