page_link;scraped_info;org_name
http://www.planet-climate.org/wiki/index.php?title=60_Plus_Association;Members;60 Plus Association
http://www.planet-climate.org/wiki/index.php?title=60_Plus_Association;on payroll;60 Plus Association
http://www.planet-climate.org/wiki/index.php?title=60_Plus_Association;From their website:;60 Plus Association
http://www.planet-climate.org/wiki/index.php?title=60_Plus_Association;[10];60 Plus Association
http://www.planet-climate.org/wiki/index.php?title=60_Plus_Association;James L. Martin;60 Plus Association
http://www.planet-climate.org/wiki/index.php?title=60_Plus_Association;" - President; paid $132,812 in fiscal year 2008";60 Plus Association
http://www.planet-climate.org/wiki/index.php?title=60_Plus_Association;[11];60 Plus Association
http://www.planet-climate.org/wiki/index.php?title=60_Plus_Association;Roger Zion;60 Plus Association
http://www.planet-climate.org/wiki/index.php?title=60_Plus_Association; - Honorary Chair;60 Plus Association
http://www.planet-climate.org/wiki/index.php?title=60_Plus_Association;The group's national spokesperson is singer ;60 Plus Association
http://www.planet-climate.org/wiki/index.php?title=60_Plus_Association;Pat Boone;60 Plus Association
http://www.planet-climate.org/wiki/index.php?title=60_Plus_Association;[12];60 Plus Association
http://www.planet-climate.org/wiki/index.php?title=60_Plus_Association;L. Prather McKinnon;60 Plus Association
http://www.planet-climate.org/wiki/index.php?title=60_Plus_Association;Robert Martin;60 Plus Association
http://www.planet-climate.org/wiki/index.php?title=60_Plus_Association;Other Board members listed in their 2006 IRS report:;60 Plus Association
http://www.planet-climate.org/wiki/index.php?title=60_Plus_Association;[2];60 Plus Association
http://www.planet-climate.org/wiki/index.php?title=60_Plus_Association;Jon Minarik;60 Plus Association
http://www.planet-climate.org/wiki/index.php?title=60_Plus_Association;on advisory board;60 Plus Association
http://www.planet-climate.org/wiki/index.php?title=Accuracy_in_Academia;Members;Accuracy in Academia
http://www.planet-climate.org/wiki/index.php?title=Accuracy_in_Academia;on payroll;Accuracy in Academia
http://www.planet-climate.org/wiki/index.php?title=Accuracy_in_Academia;executive director ;Accuracy in Academia
http://www.planet-climate.org/wiki/index.php?title=Accuracy_in_Academia;Malcolm A. Kline;Accuracy in Academia
http://www.planet-climate.org/wiki/index.php?title=Accuracy_in_Academia;Bethany Stotts;Accuracy in Academia
http://www.planet-climate.org/wiki/index.php?title=Accuracy_in_Academia;on advisory board;Accuracy in Academia
http://www.planet-climate.org/wiki/index.php?title=Accuracy_in_Media;Members;Accuracy in Media
http://www.planet-climate.org/wiki/index.php?title=Accuracy_in_Media;on payroll;Accuracy in Media
http://www.planet-climate.org/wiki/index.php?title=Accuracy_in_Media;Don Irvine;Accuracy in Media
http://www.planet-climate.org/wiki/index.php?title=Accuracy_in_Media;Roger Aronoff;Accuracy in Media
http://www.planet-climate.org/wiki/index.php?title=Accuracy_in_Media;Cliff Kincaid;Accuracy in Media
http://www.planet-climate.org/wiki/index.php?title=Accuracy_in_Media;Deborah Lambert;Accuracy in Media
http://www.planet-climate.org/wiki/index.php?title=Accuracy_in_Media;Heidi Barnes;Accuracy in Media
http://www.planet-climate.org/wiki/index.php?title=Accuracy_in_Media;Mercedes Amaya;Accuracy in Media
http://www.planet-climate.org/wiki/index.php?title=Accuracy_in_Media;on advisory board;Accuracy in Media
http://www.planet-climate.org/wiki/index.php?title=Advocates_for_Self-Government;Members;Advocates for Self-Government
http://www.planet-climate.org/wiki/index.php?title=Advocates_for_Self-Government;on payroll;Advocates for Self-Government
http://www.planet-climate.org/wiki/index.php?title=Advocates_for_Self-Government;Sharon Harris;Advocates for Self-Government
http://www.planet-climate.org/wiki/index.php?title=Advocates_for_Self-Government;Evelyn Hanson;Advocates for Self-Government
http://www.planet-climate.org/wiki/index.php?title=Advocates_for_Self-Government;Dagny Smith;Advocates for Self-Government
http://www.planet-climate.org/wiki/index.php?title=Advocates_for_Self-Government;James W. Harris;Advocates for Self-Government
http://www.planet-climate.org/wiki/index.php?title=Advocates_for_Self-Government;on advisory board;Advocates for Self-Government
http://www.planet-climate.org/wiki/index.php?title=Advocates_for_Self-Government;Diane Carol Bast;Advocates for Self-Government
http://www.planet-climate.org/wiki/index.php?title=Advocates_for_Self-Government;Sloane Frost;Advocates for Self-Government
http://www.planet-climate.org/wiki/index.php?title=Advocates_for_Self-Government;Doug Klippel;Advocates for Self-Government
http://www.planet-climate.org/wiki/index.php?title=Advocates_for_Self-Government;Jim Lark;Advocates for Self-Government
http://www.planet-climate.org/wiki/index.php?title=Advocates_for_Self-Government;Chris Rufer;Advocates for Self-Government
http://www.planet-climate.org/wiki/index.php?title=Advocates_for_Self-Government;Mark W. Rutherford;Advocates for Self-Government
http://www.planet-climate.org/wiki/index.php?title=Advocates_for_Self-Government;Emily Salvette;Advocates for Self-Government
http://www.planet-climate.org/wiki/index.php?title=Advocates_for_Self-Government;George Schwappach;Advocates for Self-Government
http://www.planet-climate.org/wiki/index.php?title=Advocates_for_Self-Government;Hardy Macia;Advocates for Self-Government
http://www.planet-climate.org/wiki/index.php?title=Advocates_for_Self-Government; (塱969-2013);Advocates for Self-Government
http://www.planet-climate.org/wiki/index.php?title=Aerology;Members;Aerology
http://www.planet-climate.org/wiki/index.php?title=Aerology;on payroll;Aerology
http://www.planet-climate.org/wiki/index.php?title=Aerology;on advisory board;Aerology
http://www.planet-climate.org/wiki/index.php?title=Template:ActivistGroup;Members;Template:ActivistGroup
http://www.planet-climate.org/wiki/index.php?title=Template:ActivistGroup;on payroll;Template:ActivistGroup
http://www.planet-climate.org/wiki/index.php?title=Template:ActivistGroup;on advisory board;Template:ActivistGroup
